chunk_id,jd_id,line_id,tag,sim_skills,sim_experience,sim_education,predicted_tag,text
Accenture_Talent_Transformation_Manager__line30,Accenture_Talent_Transformation_Manager,30,experience,0.5805,0.5085,0.3771,skills,We are looking for experience in the following skills:
Accenture_Talent_Transformation_Manager__line31,Accenture_Talent_Transformation_Manager,31,mixed,0.4472,0.4531,0.2206,experience,"Proven track record in delivering talent management and capability strategy, programmes and/or processes."
Accenture_Talent_Transformation_Manager__line32,Accenture_Talent_Transformation_Manager,32,mixed,0.549,0.4098,0.3519,skills,Ability to conduct capability gap assessments and/or training and learning needs analysis within organisations
Accenture_Talent_Transformation_Manager__line33,Accenture_Talent_Transformation_Manager,33,mixed,0.4179,0.3464,0.1377,skills,Implementing learning and/or reskilling programmes to build capability within organisations
Accenture_Talent_Transformation_Manager__line34,Accenture_Talent_Transformation_Manager,34,skills,0.417,0.4304,0.2179,experience,A familiarity or interest in the relevant technologies for pursuing re-skilling from innovative learning to skills analytics
Accenture_Talent_Transformation_Manager__line36,Accenture_Talent_Transformation_Manager,36,skills,0.4082,0.388,0.2046,skills,"Strong consulting acumen by demonstrating excellent communication, facilitation and data analysis skills to influence others."
Accenture_Talent_Transformation_Manager__line37,Accenture_Talent_Transformation_Manager,37,skills,0.4443,0.3676,0.2108,skills,"Showing ability to build trusted relationships, and manage stakeholders, both internally and externally to your organisation with clear ability to influence others."
Accenture_Talent_Transformation_Manager__line40,Accenture_Talent_Transformation_Manager,40,skills,0.218,0.275,0.0179,experience,Are forward thinking with a strong business acumen
Accenture_Talent_Transformation_Manager__line42,Accenture_Talent_Transformation_Manager,42,experience,0.3858,0.3703,0.1662,skills,Have experience in leading global teams in complex learning implementations
Accenture_Talent_Transformation_Manager__line43,Accenture_Talent_Transformation_Manager,43,experience,0.4401,0.3462,0.1154,skills,Can guide and coach other team members to achieve their full potential
Applied_AI_Engineer_Impress__line11,Applied_AI_Engineer_Impress,11,mixed,0.3088,0.2708,0.2412,skills,"We’re looking for an Applied AI Engineer to join our AI Agents efforts at Impress. You’ll work closely with our Product/Automation team and cross-functional stakeholders to design, build, and deploy production-grade AI agents that automate and improve key company workflows – without compromising patient experience or clinical quality."
Applied_AI_Engineer_Impress__line12,Applied_AI_Engineer_Impress,12,experience,0.322,0.2672,0.053,skills,"We’ve already successfully implemented AI agents for phone calls and WhatsApp communications, and we’re now scaling agent capabilities across more business and operational processes."
Applied_AI_Engineer_Impress__line13,Applied_AI_Engineer_Impress,13,skills,0.3449,0.1633,0.0324,skills,"This role is for a hands-on builder who enjoys taking agent systems from prototype → production, and improving them with robust evaluation, monitoring, and iteration"
Applied_AI_Engineer_Impress__line15,Applied_AI_Engineer_Impress,15,mixed,0.2257,0.1576,0.0342,skills,Ship end-to-end AI agents and workflows that solve real operational and customer-facing problems across the company
Applied_AI_Engineer_Impress__line16,Applied_AI_Engineer_Impress,16,mixed,0.2991,0.2502,0.1642,skills,"Develop and iterate on agent architectures, evaluation pipelines, and performance frameworks to ensure reliability and measurable outcomes."
Applied_AI_Engineer_Impress__line17,Applied_AI_Engineer_Impress,17,mixed,0.3731,0.2648,0.1174,skills,"Translate emerging AI research and tooling into practical, production-ready solutions."
Applied_AI_Engineer_Impress__line18,Applied_AI_Engineer_Impress,18,mixed,0.3175,0.3985,0.1163,experience,"Partner with stakeholders (Product, Ops, CX, Dev, ML) to identify the highest-impact opportunities, define success metrics, and drive deployments to completion."
Applied_AI_Engineer_Impress__line19,Applied_AI_Engineer_Impress,19,skills,0.2755,0.2348,0.0746,skills,"Communicate technical decisions, trade-offs, and insights clearly to both technical and non-technical stakeholders"
Applied_AI_Engineer_Impress__line21,Applied_AI_Engineer_Impress,21,mixed,0.3001,0.3269,0.2866,experience,"3+ years of software engineering experience, including at least 1 year building LLM/agent systems in production (or equivalent depth through impactful projects)."
Applied_AI_Engineer_Impress__line22,Applied_AI_Engineer_Impress,22,skills,0.4581,0.314,0.2607,skills,"Strong coding skills in Python or TypeScript (ideally both), with production-grade code quality."
Applied_AI_Engineer_Impress__line23,Applied_AI_Engineer_Impress,23,skills,0.3558,0.2694,0.1254,skills,Expertise with agent frameworks; hands-on with LangChain and LangGraph.
Applied_AI_Engineer_Impress__line24,Applied_AI_Engineer_Impress,24,skills,0.4587,0.2972,0.305,skills,"Strong prompt engineering skills with experience in optimisation, externalisation, and A/B testing"
Applied_AI_Engineer_Impress__line25,Applied_AI_Engineer_Impress,25,skills,0.2736,0.3709,0.0514,experience,"Experience with vector stores, RAG patterns, and knowledge organisation"
Applied_AI_Engineer_Impress__line26,Applied_AI_Engineer_Impress,26,skills,0.0916,0.0978,0.0559,experience,"Experience with MCP/tool integration, API design, and error handling patterns"
Applied_AI_Engineer_Impress__line27,Applied_AI_Engineer_Impress,27,skills,0.358,0.2494,0.149,skills,"Naturally curious and motivated to learn new tools, frameworks, and approaches in applied AI."
Applied_AI_Engineer_Impress__line28,Applied_AI_Engineer_Impress,28,skills,0.4281,0.3653,0.1257,skills,Excellent communicator who can simplify complex technical ideas for diverse audiences.
Arrive_People_Analytics_Lead__line26,Arrive_People_Analytics_Lead,26,education,0.035,-0.0045,0.0532,education,School alum from Высшая Школа Экономики
Arrive_People_Analytics_Lead__line34,Arrive_People_Analytics_Lead,34,mixed,0.209,0.3119,0.0017,experience,"The People Analytics Lead will play a critical role in elevating our People & Culture function through robust insights, advanced analytics, and a best-in-class HR data ecosystem. This role will oversee the design, governance, and optimization of our HR data environment, primarily within Workday. While expanding our analytics capabilities through tools such as Workday Prism, Power BI, and other visualization platforms."
Arrive_People_Analytics_Lead__line35,Arrive_People_Analytics_Lead,35,mixed,0.2564,0.3493,0.0612,experience,"You will lead the evolution of our reporting strategy, ensuring People data is accurate, accessible, and translated into actionable insights that drive business decisions across the organization. You will serve as the data steward for the People & Culture domain, ensuring data quality, responsible use of AI, and strong partnership with our AI Group."
Arrive_People_Analytics_Lead__line38,Arrive_People_Analytics_Lead,38,skills,0.2605,0.3037,0.1566,experience,Champion a data-driven culture within the People & Culture function and across the business.
Arrive_People_Analytics_Lead__line39,Arrive_People_Analytics_Lead,39,mixed,0.1711,0.1383,-0.0455,skills,Analytics & Dashboard Development
Arrive_People_Analytics_Lead__line40,Arrive_People_Analytics_Lead,40,mixed,0.2224,0.2015,0.0145,skills,"Build, automate, and optimize dashboards, scorecards, and self-service analytics using Workday (including Prism), Power BI, and other visualization tools."
Arrive_People_Analytics_Lead__line41,Arrive_People_Analytics_Lead,41,mixed,0.2725,0.4079,0.1971,experience,"Deliver insights related to headcount, organizational health, recruitment funnel performance, mobility, DEI metrics, compensation trends, turnover, and predictive workforce patterns."
Arrive_People_Analytics_Lead__line42,Arrive_People_Analytics_Lead,42,mixed,0.2591,0.308,-0.0146,experience,Translate complex data into intuitive visual stories that enable senior leaders and stakeholders to make informed decisions.
Arrive_People_Analytics_Lead__line43,Arrive_People_Analytics_Lead,43,mixed,0.127,0.2406,0.019,experience,Advanced Reporting
Arrive_People_Analytics_Lead__line44,Arrive_People_Analytics_Lead,44,mixed,0.2368,0.3237,0.0837,experience,"Own the creation and maintenance of advanced operational and strategic reports across Workday, including calculated fields, matrix reports, dashboards, and complex data models."
Arrive_People_Analytics_Lead__line45,Arrive_People_Analytics_Lead,45,mixed,0.2702,0.3215,0.1002,experience,"Utilize Prism Analytics or similar tools to consolidate data from multiple systems, enrich datasets, and enable deeper workforce analytics."
Arrive_People_Analytics_Lead__line48,Arrive_People_Analytics_Lead,48,skills,0.3307,0.3869,0.3216,experience,"Serve as the subject matter expert for HR data structures, reporting standards, and data quality controls."
Arrive_People_Analytics_Lead__line49,Arrive_People_Analytics_Lead,49,skills,0.315,0.4352,0.2948,experience,"Maintain a strong understanding of core HR data domains (HCM, Absence, Talent, Compensation, Payroll)."
Arrive_People_Analytics_Lead__line56,Arrive_People_Analytics_Lead,56,experience,0.0572,0.0034,0.0614,education,What You’ll Bring
Arrive_People_Analytics_Lead__line57,Arrive_People_Analytics_Lead,57,experience,0.2602,0.3404,0.2592,experience,"7+ years of experience in People Analytics, HR data, or HR systems, with a minimum of 3 years hands-on with Workday, specifically reporting, dashboards, calculated fields, and security."
Arrive_People_Analytics_Lead__line58,Arrive_People_Analytics_Lead,58,skills,0.3799,0.3462,0.1717,skills,"Advanced proficiency with analytics tools such as Workday Reporting, Prism Analytics, Power BI, Tableau, or similar visualization/BI tools."
Arrive_People_Analytics_Lead__line59,Arrive_People_Analytics_Lead,59,skills,0.242,0.3433,0.1808,experience,Strong understanding of key HR data concepts and processes across the employee lifecycle.
Arrive_People_Analytics_Lead__line60,Arrive_People_Analytics_Lead,60,skills,0.2125,0.2905,0.1161,experience,"Demonstrated experience in data governance, data modelling, cleansing, and building scalable analytics environments."
Arrive_People_Analytics_Lead__line61,Arrive_People_Analytics_Lead,61,skills,0.4471,0.3402,0.1258,skills,Exceptional analytical and problem-solving skills with the ability to turn raw data into actionable insights and compelling narratives.
Arrive_People_Analytics_Lead__line62,Arrive_People_Analytics_Lead,62,skills,0.4151,0.3785,0.1724,skills,"Strong communication and stakeholder-management skills, with the capability to present complex analyses to non-technical audiences."
Atlantica Sustainable Infrastructure_Talent_Culture Analyst__line14,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,14,mixed,0.3627,0.3933,0.1662,experience,"We are currently recruiting a Talent & Culture Analyst to join our team and contribute to key projects in a dynamic and collaborative environment. This role is part of a global team working toward common goals. We operate as one company, across all locations, with shared responsibility and clear accountability."
Atlantica Sustainable Infrastructure_Talent_Culture Analyst__line16,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,16,mixed,0.4353,0.4784,0.2422,experience,"Design and continuously improve global frameworks and processes across core talent areas, including talent acquisition, onboarding, internal mobility, talent reviews, succession planning, and culture/engagement initiatives."
Atlantica Sustainable Infrastructure_Talent_Culture Analyst__line17,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,17,mixed,0.3172,0.2494,0.1384,skills,"Translate business needs into scalable solutions, balancing global consistency with local realities."
Atlantica Sustainable Infrastructure_Talent_Culture Analyst__line18,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,18,mixed,0.2164,0.357,0.0752,experience,"Lead and support the rollout of global programs with clear project plans, change management, communications, and stakeholder alignment."
Atlantica Sustainable Infrastructure_Talent_Culture Analyst__line19,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,19,mixed,0.2486,0.3523,0.2176,experience,"Partner with local HR Business Partners and internal stakeholders to ensure operational readiness, adoption, and strong employee experience."
Atlantica Sustainable Infrastructure_Talent_Culture Analyst__line20,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,20,mixed,0.316,0.2917,0.29,skills,"Create manager and employee enablement materials and coordinate training sessions, when needed."
Atlantica Sustainable Infrastructure_Talent_Culture Analyst__line21,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,21,mixed,0.3677,0.3715,0.1886,experience,"Partner with HRIS/People Systems to operationalize and optimize Talent & Culture processes, support data quality, and improve system usability."
Atlantica Sustainable Infrastructure_Talent_Culture Analyst__line22,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,22,mixed,0.1938,0.2086,0.0858,experience,"Promote a data-driven culture in the team by building and maintaining dashboards and reporting packs, ensuring consistent definitions and reliable data across regions."
Atlantica Sustainable Infrastructure_Talent_Culture Analyst__line23,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,23,mixed,0.3413,0.4243,0.1852,experience,"Identify trends and pain points; propose improvements to increase clarity, efficiency, fairness, and transparency in talent practices."
Atlantica Sustainable Infrastructure_Talent_Culture Analyst__line25,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,25,education,0.2829,0.3476,0.5233,education,"Bachelor’s degree in Human Resources, Business, Psychology, or a related field (Master’s is a plus)."
Atlantica Sustainable Infrastructure_Talent_Culture Analyst__line26,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,26,skills,0.3242,0.2612,0.3974,education,C1 level English proficiency required.
Atlantica Sustainable Infrastructure_Talent_Culture Analyst__line27,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,27,experience,0.5481,0.5236,0.4138,skills,Experience and Technical Skills
Atlantica Sustainable Infrastructure_Talent_Culture Analyst__line28,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,28,experience,0.3619,0.4691,0.3854,experience,5+ years of experience in Talent & Culture Programs or HR Project roles (global exposure preferred).
Atlantica Sustainable Infrastructure_Talent_Culture Analyst__line29,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,29,mixed,0.3804,0.4974,0.2501,experience,"Hands-on experience supporting talent acquisition, internal mobility, succession planning, talent reviews, onboarding programs, performance/talent cycles, engagement/culture initiatives."
Atlantica Sustainable Infrastructure_Talent_Culture Analyst__line30,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,30,skills,0.4278,0.3829,0.2898,skills,Working knowledge of HCM/HRIS systems (Cornerstone is a plus).
Atlantica Sustainable Infrastructure_Talent_Culture Analyst__line31,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,31,skills,0.3531,0.336,0.1716,skills,Advanced capability in Excel; strong skills in PowerPoint; experience with Power BI (or equivalent BI tools) preferred.
Atlantica Sustainable Infrastructure_Talent_Culture Analyst__line33,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,33,skills,0.2332,0.227,0.0433,skills,"Organized & reliable: strong project coordination, prioritization, and follow-through."
Atlantica Sustainable Infrastructure_Talent_Culture Analyst__line34,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,34,skills,0.3263,0.211,0.015,skills,Program/process mindset: able to simplify ambiguity into scalable frameworks and workflows.
Atlantica Sustainable Infrastructure_Talent_Culture Analyst__line35,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,35,skills,0.1505,0.2132,0.0727,experience,Analytical & data-driven: comfortable turning people data into insights and recommendations.
Atlantica Sustainable Infrastructure_Talent_Culture Analyst__line36,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,36,skills,0.2449,0.2528,0.0673,experience,"Stakeholder management: confident working with local teams, leaders, and cross-functional partners; able to influence without authority."
Atlantica Sustainable Infrastructure_Talent_Culture Analyst__line37,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,37,skills,0.3786,0.324,0.2365,skills,"Clear communicator: strong writing and presentation skills for playbooks, policies, toolkits, communications and trainings."
Atlantica Sustainable Infrastructure_Talent_Culture Analyst__line38,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,38,skills,0.2476,0.3138,0.1535,experience,"Employee-experience oriented: pragmatic, service-minded, and continuous improvement driven. Discretion & integrity: trusted with sensitive employee and organizational information."
Bobcatemea_HR_Data_Analyst__line13,Bobcatemea_HR_Data_Analyst,13,experience,0.1608,0.2851,0.1956,experience,We are looking for HR Data Analyst to join our Bobcat team.
Bobcatemea_HR_Data_Analyst__line14,Bobcatemea_HR_Data_Analyst,14,mixed,0.2401,0.3193,0.1124,experience,"As an HR Data Analyst in Talent Management department at Bobcat, you’ll be at the heart of our talent strategy. You’ll support the key activities of of Bobcat Talent Management function and lead by delivering meaningful data-driven insights, during key periods of the talent and performance evaluation cycle."
Bobcatemea_HR_Data_Analyst__line15,Bobcatemea_HR_Data_Analyst,15,experience,0.294,0.3472,0.1251,experience,"Talent Management at Doosan Bobcat focuses on performance evaluation, succession planning, and organizational talent reviews rather than Learning & Development activities. In this role, you will provide analytical support that enables data‑driven talent decisions and future-ready organizational planning."
Bobcatemea_HR_Data_Analyst__line17,Bobcatemea_HR_Data_Analyst,17,mixed,0.3563,0.3598,0.2291,experience,"Talent Management Data Analysis: Extract, analyze, and interpret HR and talent-related data to support internal talent review processes, development plans, and career paths."
Bobcatemea_HR_Data_Analyst__line18,Bobcatemea_HR_Data_Analyst,18,experience,0.3023,0.2693,0.027,skills,"Process Optimization: Collaborate with the talent management team to streamline employee development processes, support organizational development activities, and provide data-based recommendations."
Bobcatemea_HR_Data_Analyst__line19,Bobcatemea_HR_Data_Analyst,19,experience,0.3019,0.3391,0.1882,experience,"System Management: Oversee the Talent Management module of our HR system—maintaining data integrity, ensuring timely updates, and providing user support."
Bobcatemea_HR_Data_Analyst__line20,Bobcatemea_HR_Data_Analyst,20,experience,0.2987,0.3486,0.1251,experience,Global Collaboration: Coordinate with HR teams across EMEA to standardize and enhance global talent management processes and policies.
Bobcatemea_HR_Data_Analyst__line21,Bobcatemea_HR_Data_Analyst,21,skills,0.1956,0.3246,0.0415,experience,"Reporting Excellence: Prepare regular reports and dashboards for business leaders using Excel and Power BI, turning complex data into clear, actionable insights."
Bobcatemea_HR_Data_Analyst__line22,Bobcatemea_HR_Data_Analyst,22,experience,0.1835,0.2797,0.0687,experience,"Stakeholder Partnership: Build strong relationships with regional and global HR teams, managers, and external partners to ensure smooth information flow and project alignment."
Bobcatemea_HR_Data_Analyst__line24,Bobcatemea_HR_Data_Analyst,24,experience,0.3414,0.4663,0.21,experience,Proven experience with HR processes and management of HR data (experience in talent management area is advantageous)
Bobcatemea_HR_Data_Analyst__line25,Bobcatemea_HR_Data_Analyst,25,skills,0.301,0.3099,0.1589,experience,Advanced proficiency in Excel and hands-on experience with Power BI (or similar BI tools).
Bobcatemea_HR_Data_Analyst__line27,Bobcatemea_HR_Data_Analyst,27,skills,0.4391,0.4217,0.2396,skills,"Strong skills in data extraction, analysis, and reporting."
Bobcatemea_HR_Data_Analyst__line28,Bobcatemea_HR_Data_Analyst,28,skills,0.463,0.4525,0.4025,skills,Excellent communication and organizational skills; comfortable working across departments and cultures.
Bobcatemea_HR_Data_Analyst__line29,Bobcatemea_HR_Data_Analyst,29,skills,0.3623,0.2504,0.1627,skills,Fluency in Czech and English; additional languages are a plus.
Canonical_talent_scientst__line23,Canonical_talent_scientst,23,education,-0.0132,-0.0143,-0.0691,skills,Высшая Школа Экономики logo
