jd_id,cv,prompt,run_id,source,model,temperature,score,score_100,verdict,human_holistic_label,latency_s,prompt_tokens,output_tokens,total_tokens,error
Proofpoint_People_Data_Analyst,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,2.0,10.44,2166,9,2175,
QIC_Digital_Hub_data_analyst,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,1.0,10.92,1839,9,1848,
QIC_Digital_Hub_data_analyst,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,1.0,5.5,1839,9,1848,
QIC_Digital_Hub_data_analyst,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,1.0,4.7,1839,9,1848,
angels-space-art-director,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,0.0,12.63,2216,9,2225,
angels-space-art-director,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,0.0,13.33,2216,9,2225,
angels-space-art-director,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,0.0,10.95,2216,9,2225,
anglian-water-lead-systems-engineer,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,0.0,9.67,1979,9,1988,
anglian-water-lead-systems-engineer,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,0.0,11.27,1979,9,1988,
anglian-water-lead-systems-engineer,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,0.0,14.39,1979,9,1988,
bazaarvoice-provisioning-analyst,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,0.0,11.84,2086,9,2095,
bazaarvoice-provisioning-analyst,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,0.0,0.79,2086,9,2095,
bazaarvoice-provisioning-analyst,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,0.0,4.67,2086,9,2095,
bpostgroup_People_Analytics_Data_Scientist ,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,3.0,4.09,1932,9,1941,
bpostgroup_People_Analytics_Data_Scientist ,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,3.0,12.72,1932,9,1941,
bpostgroup_People_Analytics_Data_Scientist ,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,3.0,9.31,1932,9,1941,
codility_assessment_scientist,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,3.0,11.65,3045,9,3054,
codility_assessment_scientist,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,3.0,11.48,3045,9,3054,
codility_assessment_scientist,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,3.0,0.7,3045,9,3054,
freeplay_data_scientist,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,2.0,6.61,1480,9,1489,
freeplay_data_scientist,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,2.0,20.54,1480,9,1489,
freeplay_data_scientist,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,2.0,10.08,1480,9,1489,
lightning-ai-frontend-engineer,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,0.0,13.35,1781,9,1790,
lightning-ai-frontend-engineer,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,0.0,12.16,1781,9,1790,
lightning-ai-frontend-engineer,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,0.0,9.0,1781,9,1790,
meta_data_analyst,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,2.0,9.8,2340,9,2349,
meta_data_analyst,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,2.0,9.16,2340,9,2349,
meta_data_analyst,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,2.0,11.62,2340,9,2349,
skillvue_people_scientist,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,3.0,4.32,1714,9,1723,
skillvue_people_scientist,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,3.0,0.73,1714,9,1723,
skillvue_people_scientist,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,3.0,0.62,1714,9,1723,
sorare-marketing-graphic-designer,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,0.0,7.69,2112,9,2121,
sorare-marketing-graphic-designer,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,0.0,4.0,2112,9,2121,
sorare-marketing-graphic-designer,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,0.0,12.78,2112,9,2121,
the_world_bank_consultant_agent_evaluation,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,3.0,13.55,1711,9,1720,
the_world_bank_consultant_agent_evaluation,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,3.0,7.21,1711,9,1720,
the_world_bank_consultant_agent_evaluation,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,3.0,11.55,1711,9,1720,
unicef_people_culture_specialist,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,2.0,0.82,1904,9,1913,
unicef_people_culture_specialist,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,2.0,7.58,1904,9,1913,
unicef_people_culture_specialist,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,2.0,0.64,1904,9,1913,
 Product_Growth_Analyst_wiris,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,1.0,11.53,1953,9,1962,
 Product_Growth_Analyst_wiris,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,1.0,4.95,1953,9,1962,
 Product_Growth_Analyst_wiris,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,1.0,15.76,1953,9,1962,
AI_Video_Editor_PARTNERS,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,0.0,1.05,1590,9,1599,
AI_Video_Editor_PARTNERS,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,0.0,12.1,1590,9,1599,
AI_Video_Editor_PARTNERS,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,0.0,4.1,1590,9,1599,
Applied_AI_Engineer_Impress,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,0.0,2.27,1911,9,1920,
Applied_AI_Engineer_Impress,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,0.0,9.41,1911,9,1920,
Applied_AI_Engineer_Impress,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,0.0,5.56,1911,9,1920,
Customer_success_specialist_CareWise,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,0.0,0.64,1831,9,1840,
Customer_success_specialist_CareWise,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,0.0,12.03,1831,9,1840,
Customer_success_specialist_CareWise,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,0.0,12.38,1831,9,1840,
Data_Architect_Hanna_Robulets_Company,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,0.0,8.35,1613,9,1622,
Data_Architect_Hanna_Robulets_Company,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,0.0,10.08,1613,9,1622,
Data_Architect_Hanna_Robulets_Company,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,0.0,4.69,1613,9,1622,
Digital_Learning_Applications_Schneider_Electric,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,1.0,0.75,2475,9,2484,
Digital_Learning_Applications_Schneider_Electric,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,1.0,13.05,2475,9,2484,
Digital_Learning_Applications_Schneider_Electric,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,1.0,5.17,2475,9,2484,
QIT Software_data_scientist,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,2.0,0.75,1719,9,1728,
QIT Software_data_scientist,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,2.0,7.72,1719,9,1728,
QIT Software_data_scientist,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,2.0,10.96,1719,9,1728,
Senior_AI Engineer_MoveUp,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,0.0,7.05,1576,9,1585,
Senior_AI Engineer_MoveUp,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,0.0,11.1,1576,9,1585,
Senior_AI Engineer_MoveUp,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,0.0,0.76,1576,9,1585,
maki_people_senior_psychometrician,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,10.41,2578,9,2587,
maki_people_senior_psychometrician,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,4.37,2578,9,2587,
maki_people_senior_psychometrician,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,0.64,2578,9,2587,
Accenture_Talent_Transformation_Manager,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,,14.61,3063,9,3072,
Accenture_Talent_Transformation_Manager,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,,11.17,3063,9,3072,
Accenture_Talent_Transformation_Manager,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,,9.11,3063,9,3072,
Arrive_People_Analytics_Lead,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,,0.68,2862,9,2871,
Arrive_People_Analytics_Lead,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,,13.2,2862,9,2871,
Arrive_People_Analytics_Lead,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,8.77,2862,9,2871,
Atlantica Sustainable Infrastructure_Talent_Culture Analyst,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,,9.75,2195,9,2204,
Atlantica Sustainable Infrastructure_Talent_Culture Analyst,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,,10.79,2195,9,2204,
Atlantica Sustainable Infrastructure_Talent_Culture Analyst,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,,4.24,2195,9,2204,
Canonical_talent_scientst,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,,7.46,2842,9,2851,
Canonical_talent_scientst,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,,9.71,2842,9,2851,
Canonical_talent_scientst,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,,3.86,2842,9,2851,
Dandelion_Civilization_Psychometric Modeling_Analyst,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,9.39,2170,9,2179,
Dandelion_Civilization_Psychometric Modeling_Analyst,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,5.12,2170,9,2179,
Dandelion_Civilization_Psychometric Modeling_Analyst,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,9.56,2170,9,2179,
DataAnnotation_Quantitative_Psychologist_AI_Trainer,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,7.74,2331,9,2340,
DataAnnotation_Quantitative_Psychologist_AI_Trainer,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,11.8,2331,9,2340,
DataAnnotation_Quantitative_Psychologist_AI_Trainer,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,12.32,2331,9,2340,
G-Research_Insight_Analyst,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,10.83,2216,9,2225,
G-Research_Insight_Analyst,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,11.79,2216,9,2225,
G-Research_Insight_Analyst,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,9.53,2216,9,2225,
Johnson_Controls_People Insights_Partner ,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,,0.69,2237,9,2246,
Johnson_Controls_People Insights_Partner ,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,,17.49,2237,9,2246,
Johnson_Controls_People Insights_Partner ,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,0.63,2237,9,2246,
LinkedIn_HR_Data_Engineer_People_Analytics ,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,6.09,2717,9,2726,
LinkedIn_HR_Data_Engineer_People_Analytics ,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,16.15,2717,9,2726,
LinkedIn_HR_Data_Engineer_People_Analytics ,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,17.27,2717,9,2726,
Proofpoint_People_Data_Analyst,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,2.78,2424,9,2433,
Proofpoint_People_Data_Analyst,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,9.06,2424,9,2433,
Proofpoint_People_Data_Analyst,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,10.32,2424,9,2433,
QIC_Digital_Hub_data_analyst,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,8.2,2097,9,2106,
QIC_Digital_Hub_data_analyst,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,6.34,2097,9,2106,
QIC_Digital_Hub_data_analyst,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,18.38,2097,9,2106,
angels-space-art-director,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,0.7,2474,9,2483,
angels-space-art-director,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,13.23,2474,9,2483,
angels-space-art-director,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,11.6,2474,9,2483,
anglian-water-lead-systems-engineer,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,4.49,2237,9,2246,
anglian-water-lead-systems-engineer,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,0.64,2237,9,2246,
anglian-water-lead-systems-engineer,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,4.2,2237,9,2246,
bazaarvoice-provisioning-analyst,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,4.26,2344,9,2353,
bazaarvoice-provisioning-analyst,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,0.88,2344,9,2353,
bazaarvoice-provisioning-analyst,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,5.16,2344,9,2353,
bpostgroup_People_Analytics_Data_Scientist ,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,4.34,2190,9,2199,
bpostgroup_People_Analytics_Data_Scientist ,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,8.07,2190,9,2199,
bpostgroup_People_Analytics_Data_Scientist ,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,9.42,2190,9,2199,
codility_assessment_scientist,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,,10.66,3303,9,3312,
codility_assessment_scientist,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,,0.66,3303,9,3312,
codility_assessment_scientist,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,,12.97,3303,9,3312,
freeplay_data_scientist,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,10.68,1738,9,1747,
freeplay_data_scientist,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,10.51,1738,9,1747,
freeplay_data_scientist,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,12.44,1738,9,1747,
lightning-ai-frontend-engineer,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,3.5,2039,9,2048,
lightning-ai-frontend-engineer,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,9.97,2039,9,2048,
lightning-ai-frontend-engineer,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,10.62,2039,9,2048,
meta_data_analyst,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,11.85,2598,9,2607,
meta_data_analyst,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,4.08,2598,9,2607,
meta_data_analyst,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,,0.65,2598,9,2607,
skillvue_people_scientist,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,12.66,1972,9,1981,
skillvue_people_scientist,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,12.32,1972,9,1981,
skillvue_people_scientist,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,3.89,1972,9,1981,
sorare-marketing-graphic-designer,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,10.13,2370,9,2379,
sorare-marketing-graphic-designer,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,11.59,2370,9,2379,
sorare-marketing-graphic-designer,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,0.73,2370,9,2379,
the_world_bank_consultant_agent_evaluation,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,9.72,1969,9,1978,
the_world_bank_consultant_agent_evaluation,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,5.34,1969,9,1978,
the_world_bank_consultant_agent_evaluation,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,6.07,1969,9,1978,
unicef_people_culture_specialist,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,,10.71,2162,9,2171,
unicef_people_culture_specialist,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,,11.27,2162,9,2171,
unicef_people_culture_specialist,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,,10.45,2162,9,2171,
 Product_Growth_Analyst_wiris,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,4.14,2211,9,2220,
 Product_Growth_Analyst_wiris,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,3.67,2211,9,2220,
 Product_Growth_Analyst_wiris,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,12.72,2211,9,2220,
AI_Video_Editor_PARTNERS,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,2.91,1848,9,1857,
AI_Video_Editor_PARTNERS,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,11.8,1848,9,1857,
AI_Video_Editor_PARTNERS,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,5.29,1848,9,1857,
Applied_AI_Engineer_Impress,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,8.59,2169,9,2178,
Applied_AI_Engineer_Impress,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,15.61,2169,9,2178,
Applied_AI_Engineer_Impress,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,9.12,2169,9,2178,
Customer_success_specialist_CareWise,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,11.12,2089,9,2098,
Customer_success_specialist_CareWise,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,0.94,2089,9,2098,
Customer_success_specialist_CareWise,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,14.93,2089,9,2098,
Data_Architect_Hanna_Robulets_Company,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,7.28,1871,9,1880,
Data_Architect_Hanna_Robulets_Company,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,4.61,1871,9,1880,
Data_Architect_Hanna_Robulets_Company,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,10.09,1871,9,1880,
Digital_Learning_Applications_Schneider_Electric,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,9.29,2733,9,2742,
Digital_Learning_Applications_Schneider_Electric,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,9.07,2733,9,2742,
Digital_Learning_Applications_Schneider_Electric,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1,,Skip,,3.83,2733,9,2742,
QIT Software_data_scientist,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,8.82,1977,9,1986,
QIT Software_data_scientist,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0,,Skip,,11.61,1977,9,1986,
