jd_id,cv,prompt,run_id,source,model,temperature,skills,role_relevance,domain_relevance,education,holistic,confident,holistic_score,fit_score_100,skill_score,role_score,domain_score,edu_score,human_holistic_label,latency_s,prompt_tokens,output_tokens,total_tokens,error
Atlantica Sustainable Infrastructure_Talent_Culture Analyst,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,PARTIAL,NO FIT,True,0,5.0,0.0,0.0,0.0,0.5,,13.75,2117,37,2154,
Atlantica Sustainable Infrastructure_Talent_Culture Analyst,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,PARTIAL,NO FIT,True,0,5.0,0.0,0.0,0.0,0.5,,0.86,2117,37,2154,
Canonical_talent_scientst,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,NO,WEAK,True,1,9.0,0.0,0.0,0.5,0.0,,0.63,2764,35,2799,
Canonical_talent_scientst,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,NO,WEAK,True,1,9.0,0.0,0.0,0.5,0.0,,1.3,2764,35,2799,
Canonical_talent_scientst,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,NO,WEAK,True,1,9.0,0.0,0.0,0.5,0.0,,2.4,2764,35,2799,
Dandelion_Civilization_Psychometric Modeling_Analyst,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,NO,WEAK,True,1,0.0,0.0,0.0,0.0,0.0,,59.75,2092,36,2128,
Dandelion_Civilization_Psychometric Modeling_Analyst,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,NO,WEAK,True,1,0.0,0.0,0.0,0.0,0.0,,23.17,2092,36,2128,
Dandelion_Civilization_Psychometric Modeling_Analyst,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,NO,WEAK,True,1,0.0,0.0,0.0,0.0,0.0,,24.0,2092,36,2128,
DataAnnotation_Quantitative_Psychologist_AI_Trainer,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,PARTIAL,DIFFERENT,RELATED,YES,MODERATE,True,2,49.0,0.5,0.0,0.5,1.0,,47.1,2253,36,2289,
DataAnnotation_Quantitative_Psychologist_AI_Trainer,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,PARTIAL,DIFFERENT,RELATED,YES,MODERATE,True,2,49.0,0.5,0.0,0.5,1.0,,83.19,2253,36,2289,
DataAnnotation_Quantitative_Psychologist_AI_Trainer,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,PARTIAL,DIFFERENT,RELATED,YES,MODERATE,True,2,49.0,0.5,0.0,0.5,1.0,,14.7,2253,36,2289,
G-Research_Insight_Analyst,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,PARTIAL,DIFFERENT,RELATED,YES,WEAK,True,1,49.0,0.5,0.0,0.5,1.0,,11.15,2138,36,2174,
G-Research_Insight_Analyst,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,PARTIAL,DIFFERENT,RELATED,YES,WEAK,True,1,49.0,0.5,0.0,0.5,1.0,,12.67,2138,36,2174,
G-Research_Insight_Analyst,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,PARTIAL,DIFFERENT,RELATED,YES,WEAK,True,1,49.0,0.5,0.0,0.5,1.0,,18.2,2138,36,2174,
Johnson_Controls_People Insights_Partner ,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,YES,NO FIT,True,0,10.0,0.0,0.0,0.0,1.0,,7.16,2159,36,2195,
Johnson_Controls_People Insights_Partner ,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,YES,NO FIT,True,0,10.0,0.0,0.0,0.0,1.0,,1.89,2159,36,2195,
Johnson_Controls_People Insights_Partner ,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,YES,NO FIT,True,0,10.0,0.0,0.0,0.0,1.0,,0.9,2159,36,2195,
LinkedIn_HR_Data_Engineer_People_Analytics ,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,PARTIAL,DIFFERENT,RELATED,YES,WEAK,True,1,49.0,0.5,0.0,0.5,1.0,,19.22,2639,36,2675,
LinkedIn_HR_Data_Engineer_People_Analytics ,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,PARTIAL,DIFFERENT,RELATED,YES,WEAK,True,1,49.0,0.5,0.0,0.5,1.0,,8.44,2639,36,2675,
LinkedIn_HR_Data_Engineer_People_Analytics ,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,PARTIAL,DIFFERENT,RELATED,YES,WEAK,True,1,49.0,0.5,0.0,0.5,1.0,,5.23,2639,36,2675,
Proofpoint_People_Data_Analyst,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,NO FIT,True,0,19.0,0.0,0.0,0.5,1.0,,66.25,2346,35,2381,
Proofpoint_People_Data_Analyst,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,NO FIT,True,0,19.0,0.0,0.0,0.5,1.0,,4.48,2346,35,2381,
Proofpoint_People_Data_Analyst,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,NO FIT,True,0,19.0,0.0,0.0,0.5,1.0,,5.48,2346,35,2381,
QIC_Digital_Hub_data_analyst,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,NO FIT,True,0,19.0,0.0,0.0,0.5,1.0,,1.68,2019,35,2054,
QIC_Digital_Hub_data_analyst,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,NO FIT,True,0,19.0,0.0,0.0,0.5,1.0,,0.76,2019,35,2054,
QIC_Digital_Hub_data_analyst,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,NO FIT,True,0,19.0,0.0,0.0,0.5,1.0,,4.34,2019,35,2054,
angels-space-art-director,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,YES,NO FIT,True,0,10.0,0.0,0.0,0.0,1.0,,6.45,2396,36,2432,
angels-space-art-director,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,YES,NO FIT,True,0,10.0,0.0,0.0,0.0,1.0,,23.64,2396,36,2432,
angels-space-art-director,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,YES,NO FIT,True,0,10.0,0.0,0.0,0.0,1.0,,29.15,2396,36,2432,
anglian-water-lead-systems-engineer,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,PARTIAL,SIMILAR,RELATED,YES,MODERATE,True,2,56.2,0.5,0.6,0.5,1.0,,38.9,2159,37,2196,
anglian-water-lead-systems-engineer,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,,,,,,,,,,,,,,,,,,500 Internal error encountered.
anglian-water-lead-systems-engineer,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,PARTIAL,SIMILAR,UNRELATED,YES,MODERATE,True,2,47.2,0.5,0.6,0.0,1.0,,3.7,2159,38,2197,
bazaarvoice-provisioning-analyst,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,92.69,2266,35,2301,
bazaarvoice-provisioning-analyst,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,PARTIAL,DIFFERENT,RELATED,YES,WEAK,True,1,49.0,0.5,0.0,0.5,1.0,,37.73,2266,36,2302,
bazaarvoice-provisioning-analyst,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,11.54,2266,35,2301,
bpostgroup_People_Analytics_Data_Scientist ,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,YES,NO FIT,True,0,10.0,0.0,0.0,0.0,1.0,,4.43,2112,36,2148,
bpostgroup_People_Analytics_Data_Scientist ,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,21.08,2112,35,2147,
bpostgroup_People_Analytics_Data_Scientist ,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,YES,NO FIT,True,0,10.0,0.0,0.0,0.0,1.0,,101.86,2112,36,2148,
codility_assessment_scientist,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,NO,WEAK,True,1,9.0,0.0,0.0,0.5,0.0,,67.77,3225,35,3260,
codility_assessment_scientist,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,PARTIAL,DIFFERENT,RELATED,NO,WEAK,True,1,39.0,0.5,0.0,0.5,0.0,,0.75,3225,36,3261,
codility_assessment_scientist,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,PARTIAL,DIFFERENT,RELATED,NO,WEAK,True,1,39.0,0.5,0.0,0.5,0.0,,22.95,3225,36,3261,
freeplay_data_scientist,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,NO FIT,True,0,19.0,0.0,0.0,0.5,1.0,,31.8,1660,35,1695,
freeplay_data_scientist,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,NO FIT,True,0,19.0,0.0,0.0,0.5,1.0,,6.73,1660,35,1695,
freeplay_data_scientist,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,NO FIT,True,0,19.0,0.0,0.0,0.5,1.0,,48.89,1660,35,1695,
lightning-ai-frontend-engineer,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,15.84,1961,35,1996,
lightning-ai-frontend-engineer,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,0.9,1961,35,1996,
lightning-ai-frontend-engineer,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,0.68,1961,35,1996,
meta_data_analyst,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,9.44,2520,35,2555,
meta_data_analyst,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,1.85,2520,35,2555,
meta_data_analyst,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,6.38,2520,35,2555,
skillvue_people_scientist,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,NO,NO FIT,True,0,0.0,0.0,0.0,0.0,0.0,,68.36,1894,36,1930,
skillvue_people_scientist,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,NO,NO FIT,True,0,0.0,0.0,0.0,0.0,0.0,,8.87,1894,36,1930,
skillvue_people_scientist,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,NO,NO FIT,True,0,0.0,0.0,0.0,0.0,0.0,,11.42,1894,36,1930,
sorare-marketing-graphic-designer,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,YES,NO FIT,True,0,10.0,0.0,0.0,0.0,1.0,,9.02,2292,36,2328,
sorare-marketing-graphic-designer,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,NO FIT,True,0,19.0,0.0,0.0,0.5,1.0,,25.34,2292,35,2327,
sorare-marketing-graphic-designer,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,NO FIT,True,0,19.0,0.0,0.0,0.5,1.0,,2.27,2292,35,2327,
the_world_bank_consultant_agent_evaluation,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,3.52,1891,35,1926,
the_world_bank_consultant_agent_evaluation,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,0.58,1891,35,1926,
the_world_bank_consultant_agent_evaluation,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,7.35,1891,35,1926,
unicef_people_culture_specialist,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,NO,NO FIT,True,0,0.0,0.0,0.0,0.0,0.0,,7.87,2084,36,2120,
unicef_people_culture_specialist,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,NO,NO FIT,True,0,0.0,0.0,0.0,0.0,0.0,,243.15,2084,36,2120,
unicef_people_culture_specialist,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,NO,NO FIT,True,0,0.0,0.0,0.0,0.0,0.0,,15.12,2084,36,2120,
 Product_Growth_Analyst_wiris,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,10.55,2133,35,2168,
 Product_Growth_Analyst_wiris,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,3.18,2133,35,2168,
 Product_Growth_Analyst_wiris,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,NO FIT,True,0,19.0,0.0,0.0,0.5,1.0,,7.15,2133,35,2168,
AI_Video_Editor_PARTNERS,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,YES,NO FIT,True,0,10.0,0.0,0.0,0.0,1.0,,0.7,1770,36,1806,
AI_Video_Editor_PARTNERS,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,YES,NO FIT,True,0,10.0,0.0,0.0,0.0,1.0,,0.75,1770,36,1806,
AI_Video_Editor_PARTNERS,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,YES,NO FIT,True,0,10.0,0.0,0.0,0.0,1.0,,0.83,1770,36,1806,
Applied_AI_Engineer_Impress,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,YES,WEAK,True,1,10.0,0.0,0.0,0.0,1.0,,3.18,2091,36,2127,
Applied_AI_Engineer_Impress,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,0.63,2091,35,2126,
Applied_AI_Engineer_Impress,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,3.17,2091,35,2126,
Customer_success_specialist_CareWise,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,NO FIT,True,0,19.0,0.0,0.0,0.5,1.0,,88.69,2011,35,2046,
Customer_success_specialist_CareWise,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,NO FIT,True,0,19.0,0.0,0.0,0.5,1.0,,1.0,2011,35,2046,
Customer_success_specialist_CareWise,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,NO FIT,True,0,19.0,0.0,0.0,0.5,1.0,,0.85,2011,35,2046,
Data_Architect_Hanna_Robulets_Company,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,PARTIAL,SIMILAR,RELATED,YES,MODERATE,True,2,56.2,0.5,0.6,0.5,1.0,,1.42,1793,37,1830,
Data_Architect_Hanna_Robulets_Company,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,PARTIAL,SIMILAR,RELATED,YES,MODERATE,True,2,56.2,0.5,0.6,0.5,1.0,,38.51,1793,37,1830,
Data_Architect_Hanna_Robulets_Company,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,PARTIAL,SIMILAR,RELATED,YES,MODERATE,True,2,56.2,0.5,0.6,0.5,1.0,,54.3,1793,37,1830,
Digital_Learning_Applications_Schneider_Electric,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,YES,WEAK,True,1,10.0,0.0,0.0,0.0,1.0,,6.25,2655,36,2691,
Digital_Learning_Applications_Schneider_Electric,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,0.64,2655,35,2690,
Digital_Learning_Applications_Schneider_Electric,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,YES,WEAK,True,1,10.0,0.0,0.0,0.0,1.0,,0.81,2655,36,2691,
QIT Software_data_scientist,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,4.55,1899,35,1934,
QIT Software_data_scientist,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,1.99,1899,35,1934,
QIT Software_data_scientist,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,0.75,1899,35,1934,
Senior_AI Engineer_MoveUp,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,YES,WEAK,True,1,10.0,0.0,0.0,0.0,1.0,,20.53,1756,36,1792,
Senior_AI Engineer_MoveUp,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,YES,WEAK,True,1,10.0,0.0,0.0,0.0,1.0,,7.9,1756,36,1792,
Senior_AI Engineer_MoveUp,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,YES,WEAK,True,1,10.0,0.0,0.0,0.0,1.0,,2.02,1756,36,1792,
meta_software_engineer_leadership_machine_learning_8bf9b1,cv_engineer,L2_P0,1,engineer_extra,gemini-3.1-flash-lite-preview,1.0,PARTIAL,SIMILAR,RELATED,YES,MODERATE,True,2,56.2,0.5,0.6,0.5,1.0,,8.37,1932,37,1969,
meta_software_engineer_leadership_machine_learning_8bf9b1,cv_engineer,L2_P0,2,engineer_extra,gemini-3.1-flash-lite-preview,1.0,PARTIAL,SIMILAR,UNRELATED,YES,MODERATE,True,2,47.2,0.5,0.6,0.0,1.0,,3.42,1932,38,1970,
meta_software_engineer_leadership_machine_learning_8bf9b1,cv_engineer,L2_P0,3,engineer_extra,gemini-3.1-flash-lite-preview,1.0,NO,SIMILAR,RELATED,YES,WEAK,True,1,26.2,0.0,0.6,0.5,1.0,,14.15,1932,36,1968,
revecore_senior_director_ai_systems_be600f,cv_engineer,L2_P0,1,engineer_extra,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,12.28,2770,35,2805,
revecore_senior_director_ai_systems_be600f,cv_engineer,L2_P0,2,engineer_extra,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,17.0,2770,35,2805,
revecore_senior_director_ai_systems_be600f,cv_engineer,L2_P0,3,engineer_extra,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,0.75,2770,35,2805,
morgan_stanley_systems_analyst_director_ac9c07,cv_engineer,L2_P0,1,engineer_extra,gemini-3.1-flash-lite-preview,1.0,PARTIAL,SIMILAR,SAME,YES,MODERATE,True,2,65.2,0.5,0.6,1.0,1.0,,5.2,3043,37,3080,
morgan_stanley_systems_analyst_director_ac9c07,cv_engineer,L2_P0,2,engineer_extra,gemini-3.1-flash-lite-preview,1.0,PARTIAL,SIMILAR,SAME,YES,MODERATE,True,2,65.2,0.5,0.6,1.0,1.0,,6.41,3043,37,3080,
morgan_stanley_systems_analyst_director_ac9c07,cv_engineer,L2_P0,3,engineer_extra,gemini-3.1-flash-lite-preview,1.0,PARTIAL,SIMILAR,SAME,YES,MODERATE,True,2,65.2,0.5,0.6,1.0,1.0,,7.77,3043,37,3080,
the_hartford_director_of_enterprise_architecture_genai_fa5710,cv_engineer,L2_P0,1,engineer_extra,gemini-3.1-flash-lite-preview,1.0,NO,SIMILAR,RELATED,YES,WEAK,True,1,26.2,0.0,0.6,0.5,1.0,,0.86,2622,36,2658,
the_hartford_director_of_enterprise_architecture_genai_fa5710,cv_engineer,L2_P0,2,engineer_extra,gemini-3.1-flash-lite-preview,1.0,NO,SIMILAR,RELATED,YES,WEAK,True,1,26.2,0.0,0.6,0.5,1.0,,17.54,2622,36,2658,
the_hartford_director_of_enterprise_architecture_genai_fa5710,cv_engineer,L2_P0,3,engineer_extra,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,2.22,2622,35,2657,
mantech_senior_model_based_system_engineer_ab246d,cv_engineer,L2_P0,1,engineer_extra,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,PARTIAL,WEAK,True,1,5.0,0.0,0.0,0.0,0.5,,0.96,2485,37,2522,
mantech_senior_model_based_system_engineer_ab246d,cv_engineer,L2_P0,2,engineer_extra,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,1.89,2485,35,2520,
mantech_senior_model_based_system_engineer_ab246d,cv_engineer,L2_P0,3,engineer_extra,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,YES,WEAK,True,1,10.0,0.0,0.0,0.0,1.0,,1.58,2485,36,2521,
nvidia_senior_software_engineer_jax_269b9a,cv_engineer,L2_P0,1,engineer_extra,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,YES,WEAK,True,1,10.0,0.0,0.0,0.0,1.0,,0.8,2063,36,2099,
nvidia_senior_software_engineer_jax_269b9a,cv_engineer,L2_P0,2,engineer_extra,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,YES,WEAK,True,1,10.0,0.0,0.0,0.0,1.0,,1.26,2063,36,2099,
nvidia_senior_software_engineer_jax_269b9a,cv_engineer,L2_P0,3,engineer_extra,gemini-3.1-flash-lite-preview,1.0,PARTIAL,DIFFERENT,UNRELATED,YES,WEAK,True,1,40.0,0.5,0.0,0.0,1.0,,0.84,2063,37,2100,
