jd_id,cv,prompt,run_id,source,model,temperature,score,score_100,human_holistic_label,latency_s,prompt_tokens,output_tokens,total_tokens,error,level
DataAnnotation_Quantitative_Psychologist_AI_Trainer,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,3.0,,2.0,6.9,2073.0,9.0,2082.0,,level_1
DataAnnotation_Quantitative_Psychologist_AI_Trainer,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2.0,,2.0,8.18,2073.0,9.0,2082.0,,level_1
G-Research_Insight_Analyst,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2.0,,2.0,12.08,1958.0,9.0,1967.0,,level_1
G-Research_Insight_Analyst,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2.0,,2.0,5.03,1958.0,9.0,1967.0,,level_1
G-Research_Insight_Analyst,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2.0,,2.0,12.03,1958.0,9.0,1967.0,,level_1
Johnson_Controls_People Insights_Partner ,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2.0,,2.0,0.66,1979.0,9.0,1988.0,,level_1
Johnson_Controls_People Insights_Partner ,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2.0,,2.0,3.71,1979.0,9.0,1988.0,,level_1
Johnson_Controls_People Insights_Partner ,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2.0,,2.0,10.27,1979.0,9.0,1988.0,,level_1
LinkedIn_HR_Data_Engineer_People_Analytics ,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2.0,,1.0,6.15,2459.0,9.0,2468.0,,level_1
LinkedIn_HR_Data_Engineer_People_Analytics ,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2.0,,1.0,5.06,2459.0,9.0,2468.0,,level_1
LinkedIn_HR_Data_Engineer_People_Analytics ,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2.0,,1.0,5.76,2459.0,9.0,2468.0,,level_1
Proofpoint_People_Data_Analyst,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2.0,,2.0,14.04,2166.0,9.0,2175.0,,level_1
Proofpoint_People_Data_Analyst,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2.0,,2.0,11.69,2166.0,9.0,2175.0,,level_1
Proofpoint_People_Data_Analyst,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2.0,,2.0,10.44,2166.0,9.0,2175.0,,level_1
QIC_Digital_Hub_data_analyst,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2.0,,1.0,10.92,1839.0,9.0,1848.0,,level_1
QIC_Digital_Hub_data_analyst,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2.0,,1.0,5.5,1839.0,9.0,1848.0,,level_1
QIC_Digital_Hub_data_analyst,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2.0,,1.0,4.7,1839.0,9.0,1848.0,,level_1
angels-space-art-director,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1.0,,0.0,12.63,2216.0,9.0,2225.0,,level_1
angels-space-art-director,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1.0,,0.0,13.33,2216.0,9.0,2225.0,,level_1
angels-space-art-director,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1.0,,0.0,10.95,2216.0,9.0,2225.0,,level_1
anglian-water-lead-systems-engineer,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1.0,,0.0,9.67,1979.0,9.0,1988.0,,level_1
anglian-water-lead-systems-engineer,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0.0,,0.0,11.27,1979.0,9.0,1988.0,,level_1
anglian-water-lead-systems-engineer,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1.0,,0.0,14.39,1979.0,9.0,1988.0,,level_1
bazaarvoice-provisioning-analyst,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1.0,,0.0,11.84,2086.0,9.0,2095.0,,level_1
bazaarvoice-provisioning-analyst,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1.0,,0.0,0.79,2086.0,9.0,2095.0,,level_1
bazaarvoice-provisioning-analyst,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1.0,,0.0,4.67,2086.0,9.0,2095.0,,level_1
bpostgroup_People_Analytics_Data_Scientist ,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,3.0,,3.0,4.09,1932.0,9.0,1941.0,,level_1
bpostgroup_People_Analytics_Data_Scientist ,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,3.0,,3.0,12.72,1932.0,9.0,1941.0,,level_1
bpostgroup_People_Analytics_Data_Scientist ,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,3.0,,3.0,9.31,1932.0,9.0,1941.0,,level_1
codility_assessment_scientist,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,3.0,,3.0,11.65,3045.0,9.0,3054.0,,level_1
codility_assessment_scientist,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,3.0,,3.0,11.48,3045.0,9.0,3054.0,,level_1
codility_assessment_scientist,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,3.0,,3.0,0.7,3045.0,9.0,3054.0,,level_1
freeplay_data_scientist,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2.0,,2.0,6.61,1480.0,9.0,1489.0,,level_1
freeplay_data_scientist,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1.0,,2.0,20.54,1480.0,9.0,1489.0,,level_1
freeplay_data_scientist,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1.0,,2.0,10.08,1480.0,9.0,1489.0,,level_1
lightning-ai-frontend-engineer,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0.0,,0.0,13.35,1781.0,9.0,1790.0,,level_1
lightning-ai-frontend-engineer,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0.0,,0.0,12.16,1781.0,9.0,1790.0,,level_1
lightning-ai-frontend-engineer,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0.0,,0.0,9.0,1781.0,9.0,1790.0,,level_1
meta_data_analyst,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,3.0,,2.0,9.8,2340.0,9.0,2349.0,,level_1
meta_data_analyst,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,3.0,,2.0,9.16,2340.0,9.0,2349.0,,level_1
meta_data_analyst,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,3.0,,2.0,11.62,2340.0,9.0,2349.0,,level_1
skillvue_people_scientist,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2.0,,3.0,4.32,1714.0,9.0,1723.0,,level_1
skillvue_people_scientist,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2.0,,3.0,0.73,1714.0,9.0,1723.0,,level_1
skillvue_people_scientist,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2.0,,3.0,0.62,1714.0,9.0,1723.0,,level_1
sorare-marketing-graphic-designer,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0.0,,0.0,7.69,2112.0,9.0,2121.0,,level_1
sorare-marketing-graphic-designer,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0.0,,0.0,4.0,2112.0,9.0,2121.0,,level_1
sorare-marketing-graphic-designer,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0.0,,0.0,12.78,2112.0,9.0,2121.0,,level_1
the_world_bank_consultant_agent_evaluation,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,3.0,,3.0,13.55,1711.0,9.0,1720.0,,level_1
the_world_bank_consultant_agent_evaluation,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,3.0,,3.0,7.21,1711.0,9.0,1720.0,,level_1
the_world_bank_consultant_agent_evaluation,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,3.0,,3.0,11.55,1711.0,9.0,1720.0,,level_1
unicef_people_culture_specialist,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2.0,,2.0,0.82,1904.0,9.0,1913.0,,level_1
unicef_people_culture_specialist,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2.0,,2.0,7.58,1904.0,9.0,1913.0,,level_1
unicef_people_culture_specialist,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2.0,,2.0,0.64,1904.0,9.0,1913.0,,level_1
 Product_Growth_Analyst_wiris,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2.0,,1.0,11.53,1953.0,9.0,1962.0,,level_1
 Product_Growth_Analyst_wiris,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2.0,,1.0,4.95,1953.0,9.0,1962.0,,level_1
 Product_Growth_Analyst_wiris,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2.0,,1.0,15.76,1953.0,9.0,1962.0,,level_1
AI_Video_Editor_PARTNERS,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0.0,,0.0,1.05,1590.0,9.0,1599.0,,level_1
AI_Video_Editor_PARTNERS,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0.0,,0.0,12.1,1590.0,9.0,1599.0,,level_1
AI_Video_Editor_PARTNERS,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0.0,,0.0,4.1,1590.0,9.0,1599.0,,level_1
Applied_AI_Engineer_Impress,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1.0,,0.0,2.27,1911.0,9.0,1920.0,,level_1
Applied_AI_Engineer_Impress,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2.0,,0.0,9.41,1911.0,9.0,1920.0,,level_1
Applied_AI_Engineer_Impress,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1.0,,0.0,5.56,1911.0,9.0,1920.0,,level_1
Customer_success_specialist_CareWise,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1.0,,0.0,0.64,1831.0,9.0,1840.0,,level_1
Customer_success_specialist_CareWise,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1.0,,0.0,12.03,1831.0,9.0,1840.0,,level_1
Customer_success_specialist_CareWise,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1.0,,0.0,12.38,1831.0,9.0,1840.0,,level_1
Data_Architect_Hanna_Robulets_Company,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1.0,,0.0,8.35,1613.0,9.0,1622.0,,level_1
Data_Architect_Hanna_Robulets_Company,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1.0,,0.0,10.08,1613.0,9.0,1622.0,,level_1
Data_Architect_Hanna_Robulets_Company,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1.0,,0.0,4.69,1613.0,9.0,1622.0,,level_1
Digital_Learning_Applications_Schneider_Electric,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2.0,,1.0,0.75,2475.0,9.0,2484.0,,level_1
Digital_Learning_Applications_Schneider_Electric,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2.0,,1.0,13.05,2475.0,9.0,2484.0,,level_1
Digital_Learning_Applications_Schneider_Electric,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2.0,,1.0,5.17,2475.0,9.0,2484.0,,level_1
QIT Software_data_scientist,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2.0,,2.0,0.75,1719.0,9.0,1728.0,,level_1
QIT Software_data_scientist,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2.0,,2.0,7.72,1719.0,9.0,1728.0,,level_1
QIT Software_data_scientist,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2.0,,2.0,10.96,1719.0,9.0,1728.0,,level_1
Senior_AI Engineer_MoveUp,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2.0,,0.0,7.05,1576.0,9.0,1585.0,,level_1
Senior_AI Engineer_MoveUp,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2.0,,0.0,11.1,1576.0,9.0,1585.0,,level_1
Senior_AI Engineer_MoveUp,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2.0,,0.0,0.76,1576.0,9.0,1585.0,,level_1
maki_people_senior_psychometrician,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,10.41,2578.0,9.0,2587.0,,level_1
maki_people_senior_psychometrician,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0.0,,,4.37,2578.0,9.0,2587.0,,level_1
maki_people_senior_psychometrician,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,0.64,2578.0,9.0,2587.0,,level_1
Accenture_Talent_Transformation_Manager,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,3.0,,,14.61,3063.0,9.0,3072.0,,level_1
Accenture_Talent_Transformation_Manager,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,3.0,,,11.17,3063.0,9.0,3072.0,,level_1
Accenture_Talent_Transformation_Manager,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,3.0,,,9.11,3063.0,9.0,3072.0,,level_1
Arrive_People_Analytics_Lead,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2.0,,,0.68,2862.0,9.0,2871.0,,level_1
Arrive_People_Analytics_Lead,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2.0,,,13.2,2862.0,9.0,2871.0,,level_1
Arrive_People_Analytics_Lead,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,8.77,2862.0,9.0,2871.0,,level_1
Atlantica Sustainable Infrastructure_Talent_Culture Analyst,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2.0,,,9.75,2195.0,9.0,2204.0,,level_1
Atlantica Sustainable Infrastructure_Talent_Culture Analyst,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2.0,,,10.79,2195.0,9.0,2204.0,,level_1
Atlantica Sustainable Infrastructure_Talent_Culture Analyst,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2.0,,,4.24,2195.0,9.0,2204.0,,level_1
Canonical_talent_scientst,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2.0,,,7.46,2842.0,9.0,2851.0,,level_1
Canonical_talent_scientst,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2.0,,,9.71,2842.0,9.0,2851.0,,level_1
Canonical_talent_scientst,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2.0,,,3.86,2842.0,9.0,2851.0,,level_1
Dandelion_Civilization_Psychometric Modeling_Analyst,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,9.39,2170.0,9.0,2179.0,,level_1
Dandelion_Civilization_Psychometric Modeling_Analyst,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,5.12,2170.0,9.0,2179.0,,level_1
Dandelion_Civilization_Psychometric Modeling_Analyst,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,9.56,2170.0,9.0,2179.0,,level_1
DataAnnotation_Quantitative_Psychologist_AI_Trainer,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,7.74,2331.0,9.0,2340.0,,level_1
DataAnnotation_Quantitative_Psychologist_AI_Trainer,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,11.8,2331.0,9.0,2340.0,,level_1
DataAnnotation_Quantitative_Psychologist_AI_Trainer,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,12.32,2331.0,9.0,2340.0,,level_1
G-Research_Insight_Analyst,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,10.83,2216.0,9.0,2225.0,,level_1
G-Research_Insight_Analyst,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,11.79,2216.0,9.0,2225.0,,level_1
G-Research_Insight_Analyst,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,9.53,2216.0,9.0,2225.0,,level_1
Johnson_Controls_People Insights_Partner ,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2.0,,,0.69,2237.0,9.0,2246.0,,level_1
Johnson_Controls_People Insights_Partner ,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2.0,,,17.49,2237.0,9.0,2246.0,,level_1
Johnson_Controls_People Insights_Partner ,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,0.63,2237.0,9.0,2246.0,,level_1
LinkedIn_HR_Data_Engineer_People_Analytics ,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,6.09,2717.0,9.0,2726.0,,level_1
LinkedIn_HR_Data_Engineer_People_Analytics ,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,16.15,2717.0,9.0,2726.0,,level_1
LinkedIn_HR_Data_Engineer_People_Analytics ,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,17.27,2717.0,9.0,2726.0,,level_1
Proofpoint_People_Data_Analyst,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,2.78,2424.0,9.0,2433.0,,level_1
Proofpoint_People_Data_Analyst,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,9.06,2424.0,9.0,2433.0,,level_1
Proofpoint_People_Data_Analyst,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,10.32,2424.0,9.0,2433.0,,level_1
QIC_Digital_Hub_data_analyst,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0.0,,,8.2,2097.0,9.0,2106.0,,level_1
QIC_Digital_Hub_data_analyst,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0.0,,,6.34,2097.0,9.0,2106.0,,level_1
QIC_Digital_Hub_data_analyst,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0.0,,,18.38,2097.0,9.0,2106.0,,level_1
angels-space-art-director,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0.0,,,0.7,2474.0,9.0,2483.0,,level_1
angels-space-art-director,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0.0,,,13.23,2474.0,9.0,2483.0,,level_1
angels-space-art-director,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0.0,,,11.6,2474.0,9.0,2483.0,,level_1
anglian-water-lead-systems-engineer,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0.0,,,4.49,2237.0,9.0,2246.0,,level_1
anglian-water-lead-systems-engineer,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0.0,,,0.64,2237.0,9.0,2246.0,,level_1
anglian-water-lead-systems-engineer,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0.0,,,4.2,2237.0,9.0,2246.0,,level_1
bazaarvoice-provisioning-analyst,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0.0,,,4.26,2344.0,9.0,2353.0,,level_1
bazaarvoice-provisioning-analyst,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0.0,,,0.88,2344.0,9.0,2353.0,,level_1
bazaarvoice-provisioning-analyst,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0.0,,,5.16,2344.0,9.0,2353.0,,level_1
bpostgroup_People_Analytics_Data_Scientist ,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,4.34,2190.0,9.0,2199.0,,level_1
bpostgroup_People_Analytics_Data_Scientist ,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,8.07,2190.0,9.0,2199.0,,level_1
bpostgroup_People_Analytics_Data_Scientist ,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,9.42,2190.0,9.0,2199.0,,level_1
codility_assessment_scientist,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2.0,,,10.66,3303.0,9.0,3312.0,,level_1
codility_assessment_scientist,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2.0,,,0.66,3303.0,9.0,3312.0,,level_1
codility_assessment_scientist,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2.0,,,12.97,3303.0,9.0,3312.0,,level_1
freeplay_data_scientist,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0.0,,,10.68,1738.0,9.0,1747.0,,level_1
freeplay_data_scientist,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0.0,,,10.51,1738.0,9.0,1747.0,,level_1
freeplay_data_scientist,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0.0,,,12.44,1738.0,9.0,1747.0,,level_1
lightning-ai-frontend-engineer,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0.0,,,3.5,2039.0,9.0,2048.0,,level_1
lightning-ai-frontend-engineer,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0.0,,,9.97,2039.0,9.0,2048.0,,level_1
lightning-ai-frontend-engineer,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0.0,,,10.62,2039.0,9.0,2048.0,,level_1
meta_data_analyst,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,11.85,2598.0,9.0,2607.0,,level_1
meta_data_analyst,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,4.08,2598.0,9.0,2607.0,,level_1
meta_data_analyst,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2.0,,,0.65,2598.0,9.0,2607.0,,level_1
skillvue_people_scientist,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,12.66,1972.0,9.0,1981.0,,level_1
skillvue_people_scientist,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,12.32,1972.0,9.0,1981.0,,level_1
skillvue_people_scientist,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,3.89,1972.0,9.0,1981.0,,level_1
sorare-marketing-graphic-designer,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0.0,,,10.13,2370.0,9.0,2379.0,,level_1
sorare-marketing-graphic-designer,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,0.0,,,11.59,2370.0,9.0,2379.0,,level_1
sorare-marketing-graphic-designer,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,0.0,,,0.73,2370.0,9.0,2379.0,,level_1
the_world_bank_consultant_agent_evaluation,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,9.72,1969.0,9.0,1978.0,,level_1
the_world_bank_consultant_agent_evaluation,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,5.34,1969.0,9.0,1978.0,,level_1
the_world_bank_consultant_agent_evaluation,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,1.0,,,6.07,1969.0,9.0,1978.0,,level_1
unicef_people_culture_specialist,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2.0,,,10.71,2162.0,9.0,2171.0,,level_1
unicef_people_culture_specialist,cv_hr,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2.0,,,11.27,2162.0,9.0,2171.0,,level_1
unicef_people_culture_specialist,cv_hr,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2.0,,,10.45,2162.0,9.0,2171.0,,level_1
 Product_Growth_Analyst_wiris,cv_hr,P0,1,main,gemini-3.1-flash-lite-preview,1.0,0.0,,,4.14,2211.0,9.0,2220.0,,level_1
